YEAR	GRANT	INSTITUTE	APPLICATIONS	FUNDED	RATE	FUNDING
2016	F30	NHLBI	72	33	45.8	1246036 
2016	F30	NIA	16	10	62.5	400176 
2016	F30	NIAAA	6	6	100.0	225621 
2016	F30	NIAID	83	15	18.1	611620
2016	F30	NIAMS	13	3	23.1	135948
2016	F30	NIBIB	4	0	0.0	0
2016	F30	NICHD	18	5	27.8	191744
2016	F30	NIDA	15	7	46.7	230816
2016	F30	NIDCD	10	5	50.0	217111
2016	F30	NIDCR	7	7	100.0	312952
2016	F30	NIDDK	56	28	50.0	1105167
2016	F30	NIEHS	1	1	100.0	48576
2016	F30	NIGMS	38	6	15.8	235441
2016	F30	NIMH	32	16	50.0	621958
2016	F30	NINDS	77	14	18.2	540212
2016	F30	OD ORIP-SEPA	4	3	75.0	112085
2016	F30	Total	624	232	37.2	9185907
2016	F31	NCCIH	5	4	80.0	138698
2016	F31	NCI	302	86	28.5	3183545
2016	F31	NEI	56	21	37.5	809105
2016	F31	NHGRI	10	3	30.0	82874
2016	F31	NHLBI	181	80	44.2	3015779
2016	F31	NIA	101	27	26.7	1024058
2016	F31	NIAAA	76	30	39.5	1188289
2016	F31	NIAID	251	39	15.5	1509997
2016	F31	NIAMS	83	11	13.3	451629
2016	F31	NIBIB	43	7	16.3	264753
2016	F31	NICHD	152	26	17.1	982986
2016	F31	NIDA	128	36	28.1	1334845
2016	F31	NIDCD	66	28	42.4	1024563
2016	F31	NIDCR	29	15	51.7	580147
2016	F31	NIDDK	152	36	23.7	1285280
2016	F31	NIEHS	53	11	20.8	380188
2016	F31	NIGMS	350	47	13.4	1741226
2016	F31	NIMH	236	36	15.3	1386637
2016	F31	NIMHD	22	2	9.1	71152
2016	F31	NINDS	267	56	21.0	2118815
2016	F31	NINR	53	22	41.5	843093
2016	F31	NLM	4	1	25.0	40790
2016	F31	OD ORIP-SEPA	2	0	0.0	0
2016	F31	Total	2622	624	23.8	23458449
2016	F32	NCCIH	1	1	100.0	78010
2016	F32	NCI	223	43	19.3	2488162
2016	F32	NEI	47	11	23.4	610094
2016	F32	NHGRI	5	1	20.0	54294
2016	F32	NHLBI	178	65	36.5	3828136
2016	F32	NIA	67	16	23.9	906980
2016	F32	NIAAA	29	18	62.1	990059
2016	F32	NIAID	223	37	16.6	2040791
2016	F32	NIAMS	55	10	18.2	566000
2016	F32	NIBIB	33	4	12.1	167084
2016	F32	NICHD	105	28	26.7	1634439
2016	F32	NIDA	56	16	28.6	898652
2016	F32	NIDCD	58	20	34.5	1106255
2016	F32	NIDCR	22	9	40.9	519969
2016	F32	NIDDK	174	58	33.3	3441218
2016	F32	NIEHS	22	5	22.7	285122
2016	F32	NIGMS	411	114	27.7	6314316
2016	F32	NIMH	126	25	19.8	1394794
2016	F32	NINDS	175	34	19.4	1924463
2016	F32	NINR	3	1	33.3	56118
2016	F32	Total	2013	516	25.6	29304956
2016	F33	NCI	2	0	0.0	0
2016	F33	NIA	1	0	0.0	0
2016	F33	NIAMS	1	0	0.0	0
2016	F33	NIGMS	4	0	0.0	0
2016	F33	Total	8	0	0.0	0
2016	F99	NCI	76	36	47.4	1391380
2016	F99	Total	76	36	47.4	1391380
2016	FI2	NIGMS	68	0	0.0	0
2016	FI2	Total	68	0	0.0	0
