YEAR	GRANT	INSTITUTE	APPLICATIONS	FUNDED	RATE	FUNDING
2008	F32	NIBIB	13	3	23.1	139338
2008	F32	NIEHS	19	2	10.5	99667
2008	F32	NEI	65	18	27.7	871392
2008	F32	NIGMS	450	157	34.9	7375027
2008	F32	NICHD	117	21	17.9	1038979
2008	F32	NHGRI	9	3	33.3	141318
2008	F32	NHLBI	170	63	37.1	3264809
2008	F32	NIMH	129	33	25.6	1592750
2008	F32	NINR	3	0	0.0	0
2008	F32	NINDS	198	45	22.7	2197058
2008	F32	NCRR	1	0	0.0	0
2008	F32	Total	2150	640	29.8	31357303
2008	F33	NIAMS	1	0	0.0	0
2008	F33	NCI	4	1	25.0	28399
2008	F33	NIDCD	2	0	0.0	0
2008	F33	NIDCR	2	1	50.0	59686
2008	F33	NIEHS	1	0	0.0	0
2008	F33	NEI	1	1	100.0	58886
2008	F33	NIGMS	4	4	100.0	223113
2008	F33	NHLBI	1	1	100.0	58886
2008	F33	NINDS	2	1	50.0	53271
2008	F33	Total	18	9	50.0	482241
2008	F37	NLM	1	0	0.0	0
2008	F37	Total	1	0	0.0	0
2009	F05	NIA	2	1	50.0	57194
2009	F05	NICHD	4	0	0.0	0
2009	F05	NINDS	3	1	33.3	54554
2009	F05	Total	9	2	22.2	111748
2009	F30	NIAAA	1	1	100.0	30388
2009	F30	NIA	39	16	41.0	660070
2009	F30	NIDA	17	7	41.2	228245
2009	F30	NIDCD	14	8	57.1	297041
2009	F30	NIDCR	10	5	50.0	214715
2009	F30	NIDDK	38	27	71.1	1015782
2009	F30	NIEHS	10	4	40.0	131791
2009	F30	NHLBI	65	45	69.2	1543001
2009	F30	NIMH	24	13	54.2	499478
2009	F30	NINDS	82	21	25.6	711466
2009	F30	Total	300	147	49.0	5331977
2009	F31	NIAAA	50	30	60.0	970834
2009	F31	NIA	146	30	20.5	1031908
2009	F31	NIAID	82	21	25.6	730331
2009	F31	NIAMS	14	7	50.0	260631
2009	F31	NCCAM	22	5	22.7	181628
2009	F31	NCI	64	29	45.3	1000758
2009	F31	NIDA	107	33	30.8	1075123
2009	F31	NIDCD	79	34	43.0	1140029
2009	F31	NIDCR	29	16	55.2	523717
2009	F31	NIDDK	23	16	69.6	524237
2009	F31	NIBIB	11	3	27.3	109063
2009	F31	NIEHS	8	3	37.5	95703
2009	F31	NEI	12	8	66.7	280609
2009	F31	NIGMS	57	29	50.9	952905
2009	F31	NICHD	24	8	33.3	281795
2009	F31	NHGRI	3	2	66.7	70852
2009	F31	NHLBI	30	19	63.3	670769
2009	F31	NIMH	238	79	33.2	2611935
2009	F31	NINR	67	32	47.8	1128417
2009	F31	NINDS	311	95	30.5	3142150
2009	F31	Total	1377	499	36.2	16783394
2009	F32	NIAAA	14	9	64.3	404881
2009	F32	NIA	86	11	12.8	545050
2009	F32	NIAID	238	29	12.2	1393512
2009	F32	NIAMS	57	18	31.6	942529
2009	F32	NCCAM	8	2	25.0	121193
2009	F32	NCI	238	48	20.2	2381113
